country,code,year,alcohol_cons
Spain,ESP,2002,11.48
Spain,ESP,2003,11.25
Spain,ESP,2004,11.71
Spain,ESP,2005,11.95
Spain,ESP,2006,11.86
Spain,ESP,2007,11.32
Spain,ESP,2008,10.73
Spain,ESP,2009,10.01
Spain,ESP,2010,9.49
Spain,ESP,2011,9
Spain,ESP,2012,8.88
Spain,ESP,2013,8.59
Spain,ESP,2014,9.19
Spain,ESP,2015,9.94
Spain,ESP,2016,10.93
Spain,ESP,2017,10.93
Spain,ESP,2018,10.91
Spain,ESP,2019,10.91
Canada,CAN,2002,9.45
Canada,CAN,2003,9.5
Canada,CAN,2004,9.6
Canada,CAN,2005,9.75
Canada,CAN,2006,9.95
Canada,CAN,2007,10.09
Canada,CAN,2008,10.18
Canada,CAN,2009,10.23
Canada,CAN,2010,10.21
Canada,CAN,2011,10.17
Canada,CAN,2012,10.1
Canada,CAN,2013,10.05
Canada,CAN,2014,9.95
Canada,CAN,2015,9.92
Canada,CAN,2016,9.92
Canada,CAN,2017,9.95
Canada,CAN,2018,9.9
Canada,CAN,2019,9.9
Thailand,THA,2002,8.92
Thailand,THA,2003,9.07
Thailand,THA,2004,9.28
Thailand,THA,2005,9.36
Thailand,THA,2006,9.34
Thailand,THA,2007,8.66
Thailand,THA,2008,7.98
Thailand,THA,2009,7.41
Thailand,THA,2010,7.57
Thailand,THA,2011,7.87
Thailand,THA,2012,8.08
Thailand,THA,2013,8.16
Thailand,THA,2014,8.1
Thailand,THA,2015,8.16
Thailand,THA,2016,8.28
Thailand,THA,2017,7.95
Thailand,THA,2018,7.85
Thailand,THA,2019,7.85
Argentina,ARG,2002,6.17
Argentina,ARG,2003,5.84
Argentina,ARG,2004,5.95
Argentina,ARG,2005,6.17
Argentina,ARG,2006,6.62
Argentina,ARG,2007,7
Argentina,ARG,2008,7.27
Argentina,ARG,2009,7.44
Argentina,ARG,2010,7.69
Argentina,ARG,2011,8.11
Argentina,ARG,2012,8.4
Argentina,ARG,2013,8.48
Argentina,ARG,2014,8.63
Argentina,ARG,2015,8.57
Argentina,ARG,2016,8.6
Argentina,ARG,2017,8.34
Argentina,ARG,2018,8.04
Argentina,ARG,2019,8.04
Egypt,EGY,2002,0.14
Egypt,EGY,2003,0.14
Egypt,EGY,2004,0.15
Egypt,EGY,2005,0.16
Egypt,EGY,2006,0.17
Egypt,EGY,2007,0.2
Egypt,EGY,2008,0.2
Egypt,EGY,2009,0.21
Egypt,EGY,2010,0.2
Egypt,EGY,2011,0.2
Egypt,EGY,2012,0.19
Egypt,EGY,2013,0.19
Egypt,EGY,2014,0.19
Egypt,EGY,2015,0.18
Egypt,EGY,2016,0.16
Egypt,EGY,2017,0.15
Egypt,EGY,2018,0.15
Egypt,EGY,2019,0.15
