country,code,year,death_rate,alcohol_cons,hepatitisB_value,log_death_rate,log_alcohol_cons,log_hepatitisB
Thailand,THA,2002,19.677826,8.92,1119.3,2.9794924180424514,2.188295946591918,7.020458768895222
Thailand,THA,2003,20.39019,9.07,1099.4,3.0150539028362298,2.2049722641270453,7.00251985542656
Thailand,THA,2004,19.932268,9.28,1082.6,2.9923399260441976,2.2278615467981093,6.9871208343628775
Thailand,THA,2005,18.801683,9.36,1075.5,2.933946387105709,2.2364452904895007,6.980540948707785
Thailand,THA,2006,19.276627,9.34,1069.8,2.95889332574441,2.234306252240751,6.97522699409715
Thailand,THA,2007,21.205847,8.66,1056.6,3.0542769455384104,2.1587147225743437,6.962811484730215
Thailand,THA,2008,21.831497,7.98,1042.8,3.083353743565686,2.0769384114617173,6.949664682059346
Thailand,THA,2009,20.688715,7.41,1033.5,3.029588382530502,2.0028304393079956,6.940706379121823
Thailand,THA,2010,20.48477,7.57,1028.5,3.0196816832081974,2.0241930674493576,6.935856709093012
Thailand,THA,2011,20.26832,7.87,1015.4,3.009059075923999,2.063058062429312,6.923037902513294
Thailand,THA,2012,19.875051,8.08,991.2,2.989465226574839,2.089391872533004,6.898916330314933
Thailand,THA,2013,20.392452,8.16,963.4,3.015164832383282,2.0992441689760155,6.870468694196121
Thailand,THA,2014,19.546116,8.1,938.8,2.9727765966171344,2.0918640616783932,6.8446024639768686
Thailand,THA,2015,20.184893,8.16,925.9,3.00493445332479,2.0992441689760155,6.830766237454001
Thailand,THA,2016,20.35575,8.28,914,3.0133634272599332,2.1138429683971682,6.81783057145415
Thailand,THA,2017,18.941977,7.95,892.5,2.941380464570251,2.0731719286662407,6.794026513653794
Thailand,THA,2018,17.85242,7.85,869,2.8821390732659844,2.060513531794317,6.767343125265392
Thailand,THA,2019,17.68827,7.85,851.1,2.8729017080248025,2.060513531794317,6.746529630482915
Egypt,EGY,2002,7.4643006,0.14,1168.2,2.0101317360459916,-1.9661128563728327,7.063219381606209
Egypt,EGY,2003,8.074411,0.14,1124.6,2.0886999252719125,-1.9661128563728327,7.025182695858101
Egypt,EGY,2004,8.24268,0.15,1088.7,2.1093255337598795,-1.8971199848858813,6.992739602887134
Egypt,EGY,2005,8.646093,0.16,1071,2.1571075426067434,-1.8325814637483102,6.976348070447749
Egypt,EGY,2006,8.84131,0.17,1063,2.1794350557157407,-1.7719568419318752,6.968850378341948
Egypt,EGY,2007,8.84021,0.2,1051.4,2.1793106320235,-1.6094379124341003,6.957877888385347
Egypt,EGY,2008,9.379258,0.2,1039,2.238500655411597,-1.6094379124341003,6.946013991099227
Egypt,EGY,2009,9.427692,0.21,1027.7,2.2436513158936684,-1.5606477482646683,6.935078574631027
Egypt,EGY,2010,9.868873,0.2,1018.9,2.2893856625286926,-1.6094379124341003,6.9264788929802394
Egypt,EGY,2011,9.846841,0.2,995.3,2.287150693085437,-1.6094379124341003,6.903044199252018
Egypt,EGY,2012,9.897708,0.19,949.4,2.2923032151852594,-1.6607312068216509,6.855830206117218
Egypt,EGY,2013,11.379632,0.19,895.8,2.4318250907412238,-1.6607312068216509,6.7977171737732
Egypt,EGY,2014,12.746107,0.19,847.7,2.5452258916473887,-1.6607312068216509,6.74252679961436
Egypt,EGY,2015,10.561598,0.18,817.3,2.357224592587104,-1.7147984280919266,6.706006224522084
Egypt,EGY,2016,10.805192,0.16,788.3,2.3800267593521065,-1.8325814637483102,6.6698787280658625
Egypt,EGY,2017,10.547023,0.15,746,2.3558436400069946,-1.8971199848858813,6.61472560020376
Egypt,EGY,2018,10.479657,0.15,702.9,2.349435949349657,-1.8971199848858813,6.555214634181859
Egypt,EGY,2019,9.962385,0.15,670,2.2988165007623818,-1.8971199848858813,6.507277712385012
