Entity,Code,Year,"Age-standardized deaths from liver cancer in both sexes in those aged all ages per 100,000 people"
Argentina,ARG,2002,4.149385
Argentina,ARG,2003,3.8731475
Argentina,ARG,2004,3.8620281
Argentina,ARG,2005,3.8073761
Argentina,ARG,2006,3.8823519
Argentina,ARG,2007,3.950219
Argentina,ARG,2008,3.6816154
Argentina,ARG,2009,3.4810896
Argentina,ARG,2010,3.7281246
Argentina,ARG,2011,3.556288
Argentina,ARG,2012,3.8418891
Argentina,ARG,2013,3.6142483
Argentina,ARG,2014,3.5383308
Argentina,ARG,2015,3.7578948
Argentina,ARG,2016,3.442525
Argentina,ARG,2017,3.6145556
Argentina,ARG,2018,3.4098873
Argentina,ARG,2019,3.4139423
Canada,CAN,2002,3.091268
Canada,CAN,2003,3.1618516
Canada,CAN,2004,3.1160188
Canada,CAN,2005,3.390764
Canada,CAN,2006,3.2808926
Canada,CAN,2007,3.527131
Canada,CAN,2008,3.4953632
Canada,CAN,2009,3.482046
Canada,CAN,2010,3.6301079
Canada,CAN,2011,3.8500159
Canada,CAN,2012,4.1575494
Canada,CAN,2013,4.2947545
Canada,CAN,2014,4.195895
Canada,CAN,2015,4.381956
Canada,CAN,2016,4.395652
Canada,CAN,2017,4.4551187
Canada,CAN,2018,4.299664
Canada,CAN,2019,4.320921
Egypt,EGY,2002,7.4643006
Egypt,EGY,2003,8.074411
Egypt,EGY,2004,8.24268
Egypt,EGY,2005,8.646093
Egypt,EGY,2006,8.84131
Egypt,EGY,2007,8.84021
Egypt,EGY,2008,9.379258
Egypt,EGY,2009,9.427692
Egypt,EGY,2010,9.868873
Egypt,EGY,2011,9.846841
Egypt,EGY,2012,9.897708
Egypt,EGY,2013,11.379632
Egypt,EGY,2014,12.746107
Egypt,EGY,2015,10.561598
Egypt,EGY,2016,10.805192
Egypt,EGY,2017,10.547023
Egypt,EGY,2018,10.479657
Egypt,EGY,2019,9.962385
Spain,ESP,2002,5.8700767
Spain,ESP,2003,5.625926
Spain,ESP,2004,5.581845
Spain,ESP,2005,5.3710356
Spain,ESP,2006,5.3268147
Spain,ESP,2007,5.3333693
Spain,ESP,2008,5.2763715
Spain,ESP,2009,5.27054
Spain,ESP,2010,5.381871
Spain,ESP,2011,5.40777
Spain,ESP,2012,5.369717
Spain,ESP,2013,5.417425
Spain,ESP,2014,5.242809
Spain,ESP,2015,5.2201467
Spain,ESP,2016,5.0509567
Spain,ESP,2017,5.151007
Spain,ESP,2018,5.041847
Spain,ESP,2019,4.9553194
Thailand,THA,2002,19.677826
Thailand,THA,2003,20.39019
Thailand,THA,2004,19.932268
Thailand,THA,2005,18.801683
Thailand,THA,2006,19.276627
Thailand,THA,2007,21.205847
Thailand,THA,2008,21.831497
Thailand,THA,2009,20.688715
Thailand,THA,2010,20.48477
Thailand,THA,2011,20.26832
Thailand,THA,2012,19.875051
Thailand,THA,2013,20.392452
Thailand,THA,2014,19.546116
Thailand,THA,2015,20.184893
Thailand,THA,2016,20.35575
Thailand,THA,2017,18.941977
Thailand,THA,2018,17.85242
Thailand,THA,2019,17.68827
